ID,Name,DOB,Email,Phone,Category,Priority
C-1065,Brandon Holmes,1983-01-13,rebekah94@gmail.com,+914442089244,TAX,MEDIUM
C-1066,Michele Dominguez,1981-07-15,olsentyler@hotmail.com,+919449116879,LEGAL,MEDIUM
C-1067,Catherine Yang,1982-06-01,brycelopez@smith-johns.biz,+911853001353,SUPPORT,HIGH
C-1068,John Sullivan,1975-05-14,mking@ramirez-jensen.org,+911354364467,FINANCE,HIGH
C-1069,Katie Ponce,1966-04-07,haleshelley@hotmail.com,+918613088225,SALES,MEDIUM
C-1070,Ryan Thomas,1972-06-09,keithle@ramsey.biz,+912623095792,SALES,HIGH
C-1071,Maria Campbell,1972-10-18,gilbertdavid@ward-sanchez.biz,+917077220574,TAX,HIGH
C-1072,David Reed,1996-06-20,kim07@murphy.com,+919524978620,IT,MEDIUM
C-1073,Gloria Woods,2000-01-18,heather68@hotmail.com,+919814854912,FINANCE,MEDIUM
C-1074,Hannah Chapman,1992-08-21,scharles@yahoo.com,+918981972128,SALES,HIGH
C-1075,Mrs. Sharon Simmons,1977-11-29,johnsondiana@austin.com,+912097259577,SUPPORT,MEDIUM
C-1076,Samantha Porter,1992-01-08,gabrielthomas@gmail.com,+916628190017,FINANCE,HIGH
C-1077,Joe Garcia,1970-02-11,sharon51@gmail.com,+916509642527,TAX,LOW
C-1078,Cheryl Sanchez,1967-12-02,zgarcia@byrd-park.net,+912585406274,FINANCE,LOW
C-1079,Sharon Collins,1987-08-03,ellistheresa@conley.com,+913322843223,LEGAL,MEDIUM
C-1080,Jose Mills,1983-01-29,sherriwarner@vaughn-brown.com,+917416955299,HR,MEDIUM
C-1081,Joseph Hale,2000-03-26,stonedaniel@hotmail.com,+919350268127,IT,HIGH
C-1082,Jenna Wilson,1987-10-16,autumngarcia@wright-tran.net,+919150671561,FINANCE,MEDIUM
C-1083,Andrew Arnold,1970-10-19,daniel91@mathews.com,+919990478748,HR,MEDIUM
C-1084,Carrie Morris,1976-04-29,harmondavid@rowe-frank.biz,+917179869969,SALES,HIGH
C-1085,Kelly Little,1981-10-02,swilliams@gmail.com,+914627775745,LEGAL,MEDIUM
C-1086,Kelly Smith,1999-04-12,wardmichael@yahoo.com,+918727870867,MARKETING,MEDIUM
C-1087,Lynn Shannon,1993-09-24,christinawashington@gmail.com,+919294145593,IT,HIGH
C-1088,Pamela Johnson,1979-03-12,marthaschmitt@curtis-edwards.net,+911318539041,MARKETING,LOW
C-1089,Heather Branch,2004-10-14,sanfordshannon@sharp.com,+914322721141,SUPPORT,HIGH
C-1090,Timothy Horne,1973-04-24,paul32@gmail.com,+914978462654,IT,HIGH
C-1091,Natalie Kim,1994-03-17,kingheather@hotmail.com,+918723120719,IT,HIGH
C-1092,Jeffrey Taylor,1972-10-25,khartman@lynn-daugherty.org,+913450025483,LEGAL,MEDIUM
C-1093,Meghan Spears,1989-03-24,hoganrachel@lam.org,+912271836211,TAX,HIGH
C-1094,William Moore,1993-06-23,michael99@yahoo.com,+917325238032,SUPPORT,MEDIUM
C-1095,Tanya Smith,1966-10-04,pspence@lloyd-franklin.com,+914788572660,MARKETING,HIGH
C-1096,David Young,2004-09-13,greglindsey@gmail.com,+919301486930,FINANCE,MEDIUM
C-1097,Frank Ellison,1973-09-03,martinezjasmine@sanders-brown.com,+914542300265,FINANCE,HIGH
C-1098,Angela Hayes,1983-05-23,david27@lane.org,+911830942984,MARKETING,HIGH
C-1099,Russell Sellers,1991-12-10,timothyhartman@yahoo.com,+917111001470,HR,MEDIUM
C-1100,Luis Gibson,1992-04-09,xhoover@hotmail.com,+912632759217,TAX,LOW
